State,Month,Temperature,Humidity,Rainfall,LAI,Population_Density,Heat_Index,Season,Lagged_Rainfall,Urban_Risk,Disease
Assam,October,27.2,84.1,9.5,0.51,1143,30.63,Post-Monsoon,169.0,Low,Malaria
Goa,March,24.9,78.4,13.3,0.75,283,25.74,Summer,33.2,Medium,Typhoid
Assam,March,26.2,70.9,14.0,1.1,408,27.63,Summer,26.0,Medium,Cholera
Uttarakhand,August,18.1,80.7,177.7,2.51,318,21.02,Monsoon,90.8,Medium,Dengue
Delhi,April,36.8,47.0,108.2,1.61,873,43.79,Summer,8.1,Low,Malaria
Rajasthan,May,45.1,32.8,13.9,1.06,251,56.66,Summer,9.2,Low,Dengue
Kerala,April,36.0,94.9,5.9,1.4,153,73.51,Summer,13.2,Medium,Dengue
Goa,April,36.3,76.7,79.0,1.42,2058,60.1,Summer,11.6,Medium,Dengue
Rajasthan,June,43.0,52.9,96.0,1.57,3920,68.22,Monsoon,13.1,Medium,Cholera
Kerala,September,29.0,97.0,30.8,0.5,713,38.9,Monsoon,387.0,Low,Typhoid
Kerala,February,23.1,80.4,7.9,0.5,262,23.2,Winter,8.3,Medium,Dengue
Delhi,January,19.8,40.8,2.2,0.5,740,25.28,Winter,22.5,Low,Typhoid
Sikkim,April,17.6,65.8,36.3,1.47,4864,24.87,Summer,35.7,Medium,Malaria
Tripura,July,30.9,97.0,420.0,5.62,1940,47.18,Monsoon,97.9,Medium,Dengue
Tamil Nadu,December,21.6,64.4,10.3,0.5,1481,24.02,Winter,27.7,Medium,Malaria
Odisha,February,21.6,60.1,13.2,0.5,1118,24.4,Winter,10.8,Low,Typhoid
Nagaland,February,14.3,63.0,21.2,0.71,377,29.0,Winter,6.3,Low,Heatstroke
Madhya Pradesh,July,30.0,84.6,123.6,1.99,1284,39.02,Monsoon,37.7,Low,Malaria
Nagaland,August,21.8,93.7,420.0,6.26,455,21.8,Monsoon,100.8,Low,Cholera
Assam,April,26.4,76.9,52.1,1.09,427,28.28,Summer,5.9,Low,Cholera
Uttar Pradesh,July,34.2,76.5,255.8,2.29,154,51.0,Monsoon,79.1,Low,Heatstroke
Maharashtra,March,32.4,65.3,7.4,0.5,661,39.84,Summer,24.8,Medium,Malaria
Bihar,March,30.5,59.7,18.1,0.5,4567,33.75,Summer,42.0,High,Typhoid
Jharkhand,February,21.4,55.6,23.1,0.5,1182,24.69,Winter,5.4,Low,Dengue
Rajasthan,July,39.1,62.4,203.4,2.95,1761,61.0,Monsoon,129.0,Medium,Cholera
Gujarat,March,28.4,50.4,36.5,1.7,1182,28.95,Summer,33.0,Low,Malaria
West Bengal,January,15.7,79.2,3.6,0.5,6594,23.06,Winter,20.2,Medium,Typhoid
Delhi,October,22.8,55.6,10.6,0.5,50,24.88,Post-Monsoon,327.8,Medium,Typhoid
Maharashtra,September,29.3,86.2,232.7,3.99,1827,37.13,Monsoon,71.5,Low,Cholera
Sikkim,May,19.6,79.3,13.2,0.56,676,21.27,Summer,0.2,Medium,Heatstroke
Andhra Pradesh,March,37.7,67.6,13.7,1.78,494,59.34,Summer,60.7,Low,Typhoid
Delhi,December,14.2,42.4,23.4,0.6,269,29.4,Winter,6.0,Medium,Typhoid
West Bengal,July,28.2,97.0,420.0,5.15,135,35.78,Monsoon,335.7,Medium,Cholera
Chhattisgarh,June,38.2,88.5,41.2,1.05,1274,80.9,Monsoon,12.5,Medium,Dengue
Nagaland,April,26.0,72.0,58.7,0.66,128,27.37,Summer,37.0,Medium,Heatstroke
Punjab,August,26.5,81.4,59.8,1.54,334,28.76,Monsoon,142.7,Medium,Dengue
Odisha,May,37.7,77.5,43.5,0.71,114,67.46,Summer,169.2,Medium,Malaria
Karnataka,April,34.1,48.1,2.0,0.69,533,37.98,Summer,9.3,Medium,Malaria
Sikkim,March,12.2,63.7,32.1,0.91,997,32.53,Summer,3.6,Low,Heatstroke
Chhattisgarh,July,35.3,87.5,233.4,3.03,311,63.36,Monsoon,209.5,Low,Typhoid
Telangana,December,21.4,47.0,26.5,1.68,2019,25.0,Winter,84.4,High,Typhoid
Meghalaya,September,19.1,97.0,87.4,1.1,400,19.1,Monsoon,35.7,Medium,Dengue
Karnataka,August,32.8,93.6,110.5,2.44,4159,54.65,Monsoon,350.1,Medium,Malaria
Telangana,December,19.6,47.3,3.7,0.72,2285,25.4,Winter,71.9,Medium,Typhoid
Uttar Pradesh,November,18.5,50.6,0.8,0.92,682,25.84,Post-Monsoon,20.9,Low,Heatstroke
Punjab,May,31.2,53.9,3.5,1.27,730,33.79,Summer,19.3,Low,Heatstroke
Uttar Pradesh,July,26.8,85.9,73.7,1.65,218,29.8,Monsoon,85.8,Low,Dengue
Odisha,January,18.4,70.1,24.4,0.74,1242,23.58,Winter,21.9,Low,Malaria
Madhya Pradesh,October,25.0,62.9,14.5,0.5,470,26.0,Post-Monsoon,205.9,Low,Typhoid
Tamil Nadu,April,37.1,70.0,27.4,0.83,11526,58.63,Summer,14.5,High,Heatstroke
Delhi,June,37.9,74.7,210.4,2.82,50,66.0,Monsoon,1.4,Low,Heatstroke
Delhi,September,28.1,66.9,202.3,2.84,1251,30.45,Monsoon,16.1,Medium,Typhoid
Manipur,March,24.3,60.7,1.0,0.5,600,25.45,Summer,2.6,Low,Heatstroke
Madhya Pradesh,September,28.0,71.5,79.6,1.77,545,30.87,Monsoon,69.8,Medium,Dengue
Sikkim,August,10.5,97.0,143.1,3.08,366,21.87,Monsoon,47.5,Medium,Dengue
Himachal Pradesh,May,22.5,55.8,26.6,0.98,257,24.8,Summer,5.6,Low,Typhoid
Tamil Nadu,August,39.1,97.0,64.3,1.36,3328,96.88,Monsoon,70.3,Medium,Cholera
Haryana,September,27.9,71.5,193.5,3.25,610,30.67,Monsoon,13.0,Low,Typhoid
Karnataka,November,22.7,61.9,35.6,1.01,449,24.54,Post-Monsoon,8.7,Low,Typhoid
Nagaland,November,11.1,79.2,41.3,0.75,197,30.64,Post-Monsoon,75.9,Medium,Malaria
Delhi,July,25.1,73.1,83.9,1.62,671,26.09,Monsoon,431.5,Low,Malaria
Madhya Pradesh,January,18.5,41.1,13.1,0.5,3633,25.79,Winter,21.4,Medium,Typhoid
Manipur,February,18.6,65.1,2.4,0.5,170,24.38,Winter,7.8,Low,Typhoid
Rajasthan,March,31.4,22.3,8.2,0.91,1000,31.4,Summer,2.3,Low,Malaria
Punjab,March,26.2,53.0,9.8,0.5,3759,26.84,Summer,2.0,Low,Heatstroke
Uttar Pradesh,July,30.0,84.9,92.6,1.47,4465,39.11,Monsoon,88.6,Medium,Dengue
Tamil Nadu,March,31.7,69.3,35.0,0.91,1502,39.3,Summer,2.8,Medium,Dengue
Haryana,April,28.7,40.0,23.9,0.55,351,28.7,Summer,93.9,Medium,Heatstroke
Tamil Nadu,September,33.5,96.2,46.1,0.5,1145,59.95,Monsoon,45.0,Low,Dengue
Telangana,August,31.4,97.0,157.5,2.98,3843,49.56,Monsoon,33.1,Medium,Typhoid
Andhra Pradesh,October,27.5,80.1,108.6,1.7,384,30.9,Post-Monsoon,107.7,Medium,Dengue
Goa,September,30.2,97.0,131.5,1.63,116,43.99,Monsoon,364.3,Low,Dengue
Kerala,December,19.2,74.1,9.1,1.06,3349,22.48,Winter,6.1,Medium,Typhoid
Punjab,November,24.8,53.2,1.5,0.5,371,25.81,Post-Monsoon,41.5,Medium,Malaria
Karnataka,August,26.8,85.9,27.6,1.07,698,29.8,Monsoon,351.0,Medium,Malaria
Kerala,October,28.2,94.3,300.6,3.45,599,35.23,Post-Monsoon,49.0,Low,Cholera
Delhi,February,18.3,43.6,27.5,0.77,3277,25.99,Winter,1.3,Low,Typhoid
West Bengal,June,36.1,97.0,165.1,2.24,1088,76.07,Monsoon,10.5,Medium,Cholera
Tamil Nadu,July,34.4,97.0,420.0,6.01,182,65.62,Monsoon,16.5,Low,Malaria
Rajasthan,February,23.3,20.0,22.5,1.64,126,24.19,Winter,19.3,Medium,Dengue
Uttar Pradesh,April,29.5,53.0,19.8,0.68,157,30.77,Summer,3.2,Medium,Heatstroke
Madhya Pradesh,July,29.9,83.3,414.6,5.77,188,38.3,Monsoon,41.2,Medium,Cholera
Manipur,July,23.6,94.9,58.6,1.24,215,23.6,Monsoon,120.7,Low,Dengue
Rajasthan,July,37.5,49.1,155.0,2.6,2838,46.68,Monsoon,126.4,High,Dengue
Chhattisgarh,October,28.4,69.9,205.5,3.5,533,31.45,Post-Monsoon,3.0,Medium,Dengue
Meghalaya,November,13.0,77.9,18.6,0.75,324,27.29,Post-Monsoon,13.8,Medium,Typhoid
Chhattisgarh,June,31.8,85.5,48.9,1.53,3157,46.01,Monsoon,13.4,Medium,Dengue
Tamil Nadu,August,33.2,95.2,183.9,3.0,505,57.68,Monsoon,95.1,Medium,Dengue
Maharashtra,July,34.6,97.0,420.0,4.98,5468,66.8,Monsoon,173.1,Medium,Cholera
Manipur,July,23.3,97.0,131.1,2.71,121,23.3,Monsoon,129.1,Medium,Dengue
Nagaland,September,19.8,93.2,319.6,4.71,2354,19.8,Monsoon,105.7,Medium,Dengue
Sikkim,March,14.1,48.5,13.2,0.5,904,30.06,Summer,3.4,Low,Typhoid
Karnataka,February,22.9,56.8,39.4,1.1,10233,24.86,Winter,21.4,High,Typhoid
Chhattisgarh,April,35.7,64.0,7.7,0.5,392,49.39,Summer,6.1,Low,Malaria
Meghalaya,March,15.5,75.3,1.1,0.9,555,24.55,Summer,8.3,Low,Dengue
Nagaland,April,26.6,74.3,2.9,0.5,1955,28.48,Summer,34.2,Medium,Malaria
Kerala,July,33.0,97.0,215.5,2.77,396,57.75,Monsoon,40.1,Low,Dengue
Tamil Nadu,October,29.9,86.5,38.1,0.74,522,39.25,Post-Monsoon,127.1,Medium,Typhoid
Madhya Pradesh,May,36.5,55.0,26.4,1.11,3657,46.97,Summer,18.4,Medium,Typhoid
Chhattisgarh,July,31.7,82.4,171.6,1.77,1027,44.28,Monsoon,270.4,Low,Typhoid
Rajasthan,February,29.7,20.0,27.7,0.5,557,29.7,Winter,20.3,Low,Typhoid
Uttarakhand,April,27.3,56.4,33.2,0.87,4764,28.18,Summer,15.5,Medium,Typhoid
West Bengal,May,34.9,81.4,18.1,0.5,1397,57.03,Summer,196.4,Medium,Heatstroke
Bihar,January,16.1,54.2,4.0,0.5,390,27.62,Winter,22.6,Medium,Malaria
Goa,October,27.7,94.0,91.0,1.55,82,33.44,Post-Monsoon,37.8,Low,Typhoid
Punjab,May,36.4,55.5,14.9,1.84,783,46.94,Summer,20.7,Low,Typhoid
Himachal Pradesh,April,25.4,58.9,5.1,1.42,192,26.32,Summer,4.3,Medium,Dengue
Sikkim,April,19.9,76.5,21.4,0.77,1280,21.93,Summer,48.9,Low,Heatstroke
Himachal Pradesh,February,15.1,50.9,121.4,1.08,229,28.85,Winter,0.5,Low,Dengue
Tripura,February,19.4,63.8,17.5,0.5,2953,24.24,Winter,2.4,High,Cholera
Gujarat,August,35.6,78.4,73.6,2.28,510,58.15,Monsoon,406.9,Medium,Cholera
Uttarakhand,March,18.2,50.9,1.0,0.5,138,26.01,Summer,4.5,Low,Typhoid
Gujarat,May,38.8,58.3,31.9,1.41,2184,56.66,Summer,1.7,High,Typhoid
Andhra Pradesh,October,30.0,75.4,297.6,4.34,824,36.41,Post-Monsoon,121.0,Low,Dengue
Kerala,December,18.9,77.8,1.2,0.64,6704,21.66,Winter,5.6,Medium,Typhoid
Manipur,March,23.3,73.4,8.4,0.5,81,24.07,Summer,2.2,Low,Heatstroke
Punjab,March,24.5,49.3,7.7,1.32,120,25.61,Summer,1.9,Low,Heatstroke
Nagaland,June,28.5,87.8,63.5,1.1,7524,34.91,Monsoon,41.7,High,Typhoid
Bihar,August,28.3,87.2,103.4,0.92,278,34.17,Monsoon,397.5,Low,Heatstroke
Tamil Nadu,October,25.2,88.5,325.2,5.4,324,26.13,Post-Monsoon,148.8,Medium,Cholera
Odisha,June,36.8,95.5,89.7,1.94,2015,79.15,Monsoon,9.2,Medium,Typhoid
Andhra Pradesh,April,37.7,70.4,55.6,1.12,331,61.52,Summer,2.4,Low,Malaria
Delhi,August,30.3,70.2,80.1,1.91,238,35.83,Monsoon,371.3,Low,Heatstroke
Sikkim,February,8.0,71.1,9.0,1.4,406,41.69,Winter,6.7,Low,Malaria
West Bengal,December,18.8,65.6,6.6,0.62,374,24.21,Winter,0.2,Low,Cholera
Andhra Pradesh,April,38.5,74.4,14.6,0.5,309,68.67,Summer,2.5,Low,Typhoid
Manipur,February,16.0,69.3,8.3,1.36,6621,25.59,Winter,8.5,High,Heatstroke
Jharkhand,June,36.9,82.5,110.4,2.34,860,67.7,Monsoon,20.7,Medium,Dengue
Bihar,March,31.1,56.0,12.8,0.81,187,34.08,Summer,45.3,Medium,Malaria
Haryana,July,28.8,69.2,230.0,2.92,559,32.16,Monsoon,12.4,Low,Malaria
Odisha,December,20.2,56.9,3.3,0.5,303,24.75,Winter,29.9,Medium,Malaria
Andhra Pradesh,February,24.9,58.9,6.4,0.5,11337,25.9,Winter,0.5,High,Heatstroke
Andhra Pradesh,February,22.0,60.1,14.9,0.85,190,24.46,Winter,0.5,Low,Malaria
Gujarat,September,27.5,83.4,71.3,1.98,236,31.31,Monsoon,487.5,Low,Dengue
Punjab,September,25.1,71.8,260.7,3.14,692,26.1,Monsoon,491.5,Medium,Typhoid
Gujarat,November,24.4,57.2,3.8,0.5,275,25.56,Post-Monsoon,143.3,Low,Heatstroke
Uttarakhand,March,23.8,53.4,33.4,1.22,295,25.28,Summer,4.6,Low,Typhoid
Himachal Pradesh,September,18.7,74.6,75.8,1.05,550,22.48,Monsoon,3.3,Medium,Dengue
Punjab,April,30.8,43.0,46.3,1.55,590,31.09,Summer,26.2,Low,Cholera
Jharkhand,May,37.9,54.8,54.4,1.58,800,51.18,Summer,31.7,Low,Heatstroke
Karnataka,June,36.6,89.6,20.8,1.33,50,72.31,Monsoon,211.2,Medium,Heatstroke
Meghalaya,March,17.8,75.1,22.9,0.8,190,22.72,Summer,7.0,Low,Typhoid
Gujarat,July,37.3,79.3,17.1,0.89,356,67.0,Monsoon,185.7,Low,Heatstroke
Punjab,May,30.9,45.9,25.4,1.18,234,31.71,Summer,21.2,Medium,Malaria
Chhattisgarh,March,29.5,59.8,6.5,0.5,2957,31.87,Summer,25.0,High,Typhoid
Haryana,November,18.3,44.5,5.2,1.06,1920,26.01,Post-Monsoon,122.1,Medium,Typhoid
Madhya Pradesh,November,17.1,56.7,25.8,1.09,391,26.48,Post-Monsoon,5.5,Medium,Typhoid
Odisha,January,18.9,60.1,34.4,0.78,1294,24.91,Winter,18.6,Low,Cholera
Meghalaya,February,11.0,70.0,5.5,0.5,627,33.87,Winter,12.5,Medium,Heatstroke
Maharashtra,September,30.2,90.3,420.0,6.5,1898,41.59,Monsoon,85.6,Medium,Dengue
Andhra Pradesh,May,39.7,75.6,149.2,3.32,1567,76.04,Summer,23.2,Medium,Dengue
Himachal Pradesh,November,8.4,52.6,28.0,1.36,1326,41.26,Post-Monsoon,13.7,Medium,Heatstroke
Tamil Nadu,June,35.7,97.0,420.0,6.5,1106,73.52,Monsoon,58.8,Low,Malaria
Telangana,December,22.1,47.8,3.3,0.69,3095,24.99,Winter,87.4,Medium,Dengue
Delhi,July,28.5,76.8,118.3,1.54,148,32.81,Monsoon,401.3,Medium,Typhoid
Odisha,June,40.1,97.0,34.0,0.57,226,104.49,Monsoon,7.8,Medium,Cholera
Karnataka,September,32.9,87.5,32.5,0.5,1932,51.67,Monsoon,98.1,Medium,Cholera
Gujarat,April,35.8,44.0,11.1,0.71,1038,40.18,Summer,11.2,Low,Malaria
Andhra Pradesh,June,35.8,97.0,42.0,0.95,553,74.15,Monsoon,47.4,Low,Dengue
Tripura,October,20.7,76.5,52.9,0.57,3272,22.09,Post-Monsoon,215.5,Medium,Heatstroke
Gujarat,April,38.4,59.7,71.2,1.55,530,56.21,Summer,13.8,Medium,Dengue
Chhattisgarh,September,26.2,92.6,123.3,2.21,2332,28.69,Monsoon,125.2,Medium,Dengue
Tripura,October,23.8,82.7,8.2,1.09,213,23.88,Post-Monsoon,301.9,Medium,Heatstroke
Manipur,February,11.0,66.1,0.4,0.5,1140,34.69,Winter,8.0,Low,Typhoid
Tripura,March,25.6,71.6,12.6,0.93,3674,26.77,Summer,38.3,High,Malaria
Haryana,September,23.9,72.9,57.7,2.02,454,24.68,Monsoon,13.2,Medium,Typhoid
Tripura,January,14.5,66.2,2.2,0.63,88,28.15,Winter,20.4,Medium,Dengue
Delhi,July,34.9,74.6,245.0,4.25,1364,52.68,Monsoon,393.8,Low,Cholera
Delhi,December,13.8,39.3,3.3,1.51,1076,29.36,Winter,4.8,Medium,Heatstroke
Sikkim,February,8.0,51.7,18.7,0.57,154,42.1,Winter,7.6,Low,Typhoid
Gujarat,November,25.0,50.7,3.8,0.51,612,25.9,Post-Monsoon,163.5,Low,Typhoid
Karnataka,December,18.6,53.0,15.2,0.62,1360,25.67,Winter,5.9,Low,Typhoid
Madhya Pradesh,November,23.9,50.7,5.4,1.48,50,25.35,Post-Monsoon,5.9,Medium,Typhoid
Odisha,October,28.4,96.0,7.0,1.17,175,36.32,Post-Monsoon,75.0,Low,Typhoid
Telangana,July,36.4,82.9,420.0,5.6,1049,65.43,Monsoon,133.9,Low,Malaria
Gujarat,September,33.0,66.3,420.0,4.97,449,41.92,Monsoon,489.7,Low,Dengue
Delhi,March,29.7,46.7,9.2,0.64,281,30.15,Summer,36.9,Medium,Malaria
Bihar,September,27.5,86.2,69.3,1.63,168,31.68,Monsoon,137.7,Medium,Malaria
Uttar Pradesh,September,32.8,84.5,16.2,0.65,2229,49.63,Monsoon,54.6,Medium,Dengue
Delhi,June,35.3,67.9,115.4,1.98,663,50.22,Monsoon,1.4,Low,Dengue
Telangana,February,26.6,46.0,0.2,0.93,85,26.86,Winter,2.5,Low,Malaria
Goa,November,15.8,86.4,7.3,0.94,6719,20.17,Post-Monsoon,1.2,Medium,Dengue
Meghalaya,June,30.0,97.0,420.0,5.19,897,43.11,Monsoon,32.6,Medium,Malaria
Kerala,October,25.8,93.2,159.0,3.56,456,27.61,Post-Monsoon,55.0,Medium,Typhoid
Gujarat,July,35.4,87.1,420.0,6.17,936,63.58,Monsoon,174.6,Medium,Cholera
Uttarakhand,April,24.0,57.2,2.3,0.5,708,25.32,Summer,14.1,Low,Heatstroke
Meghalaya,May,31.7,80.6,32.5,1.05,9413,43.54,Summer,3.6,Medium,Malaria
Maharashtra,October,22.4,81.4,44.1,0.76,219,22.4,Post-Monsoon,109.2,Low,Dengue
Rajasthan,February,26.4,20.0,2.0,0.5,223,26.4,Winter,21.6,Low,Typhoid
Delhi,June,32.5,67.2,420.0,5.6,315,40.82,Monsoon,1.6,Low,Malaria
Andhra Pradesh,January,21.2,58.7,7.8,0.85,654,24.49,Winter,24.0,Medium,Typhoid
Assam,October,24.4,84.2,136.9,2.15,614,24.72,Post-Monsoon,132.1,Medium,Dengue
Gujarat,July,37.3,86.9,140.0,2.1,460,73.88,Monsoon,139.4,Medium,Malaria
Nagaland,July,23.8,97.0,356.9,5.17,479,23.8,Monsoon,244.5,Low,Malaria
Telangana,September,38.5,71.9,86.7,2.08,1323,66.42,Monsoon,1.8,Low,Heatstroke
Rajasthan,October,27.0,38.5,29.1,1.59,240,27.0,Post-Monsoon,31.2,Low,Malaria
West Bengal,November,23.0,75.3,16.1,1.6,1536,23.64,Post-Monsoon,200.0,Medium,Malaria
Himachal Pradesh,April,17.6,57.7,23.2,0.5,6101,25.98,Summer,4.5,Medium,Heatstroke
Maharashtra,October,23.8,75.5,34.5,0.5,717,24.42,Post-Monsoon,102.3,Low,Malaria
Maharashtra,June,37.1,89.5,420.0,6.45,1108,75.18,Monsoon,12.3,Low,Cholera
Uttarakhand,December,12.2,47.5,16.6,0.64,490,32.79,Winter,6.0,Low,Typhoid
Kerala,December,23.0,79.1,9.3,0.5,106,23.24,Winter,4.7,Low,Typhoid
Haryana,September,24.8,70.6,2.9,1.46,779,25.74,Monsoon,10.6,Medium,Dengue
Telangana,February,23.9,50.5,60.4,0.93,7272,25.35,Winter,3.4,High,Typhoid
Meghalaya,March,20.2,79.3,13.3,0.5,1631,21.37,Summer,7.7,Medium,Malaria
Assam,October,24.6,84.2,39.3,0.78,2881,25.07,Post-Monsoon,145.8,Medium,Typhoid
Gujarat,May,42.4,62.6,22.9,0.78,99,75.82,Summer,1.2,Medium,Typhoid
West Bengal,September,30.7,97.0,288.7,2.21,232,46.25,Monsoon,368.0,Low,Dengue
Assam,October,18.9,83.1,227.6,3.24,1159,20.2,Post-Monsoon,124.4,Low,Dengue
Manipur,June,31.0,97.0,30.0,0.82,50,47.65,Monsoon,36.6,Low,Malaria
Rajasthan,September,32.5,44.4,80.5,0.8,248,33.94,Monsoon,367.4,Medium,Cholera
Manipur,February,13.8,60.1,16.2,0.89,512,30.15,Winter,7.5,Low,Typhoid
Madhya Pradesh,February,22.5,50.2,24.5,1.19,197,24.98,Winter,14.0,Low,Typhoid
Maharashtra,March,31.8,73.3,19.3,1.17,443,41.02,Summer,24.6,Low,Typhoid
Goa,May,36.6,77.2,36.4,0.5,917,61.87,Summer,8.6,Medium,Heatstroke
Odisha,November,22.1,79.4,56.7,0.96,982,22.37,Post-Monsoon,31.1,Low,Typhoid
Madhya Pradesh,June,37.3,67.2,253.4,3.46,510,57.4,Monsoon,7.2,Low,Malaria
Tamil Nadu,August,36.1,97.0,63.6,1.55,73,76.07,Monsoon,90.3,Medium,Malaria
Meghalaya,April,24.4,80.4,49.3,1.25,2155,24.91,Summer,6.2,Medium,Cholera
Uttar Pradesh,February,17.9,48.2,11.9,0.97,153,26.27,Winter,8.6,Medium,Cholera
Sikkim,July,15.2,97.0,244.7,3.44,773,15.26,Monsoon,338.4,Medium,Dengue
Himachal Pradesh,May,35.1,64.2,37.9,1.56,994,47.49,Summer,5.3,Low,Dengue
Chhattisgarh,July,30.8,94.6,45.1,2.17,111,45.71,Monsoon,225.2,Low,Dengue
Goa,August,35.6,97.0,91.3,2.05,3072,72.9,Monsoon,300.5,Low,Dengue
Haryana,June,38.6,68.4,57.6,1.53,414,63.86,Monsoon,30.7,Low,Dengue
Uttarakhand,February,12.3,56.3,5.4,0.77,143,32.99,Winter,7.5,Medium,Malaria
Chhattisgarh,February,23.8,52.1,0.7,0.5,274,25.3,Winter,0.3,Low,Heatstroke
Rajasthan,March,31.3,23.7,25.2,1.36,567,31.3,Summer,2.4,Low,Heatstroke
Kerala,April,33.8,84.5,27.2,0.98,1724,54.0,Summer,9.1,Low,Cholera
Karnataka,September,28.6,75.4,40.7,0.89,280,32.8,Monsoon,116.3,Low,Dengue
Kerala,March,26.1,85.9,3.6,0.82,231,28.11,Summer,5.0,Low,Cholera
Chhattisgarh,June,38.4,87.0,64.6,1.76,280,80.55,Monsoon,13.0,Medium,Malaria
Manipur,January,9.1,69.1,12.4,1.06,537,38.91,Winter,18.1,Low,Typhoid
Rajasthan,April,41.1,27.2,88.2,2.76,984,43.97,Summer,8.0,Low,Heatstroke
Sikkim,October,12.1,82.0,72.7,1.35,73,27.31,Post-Monsoon,110.7,Low,Dengue
Goa,January,19.4,64.8,6.7,0.63,3502,24.1,Winter,16.9,Medium,Heatstroke
Meghalaya,September,19.7,97.0,118.4,2.24,105,19.7,Monsoon,30.7,Low,Cholera
Jharkhand,October,19.7,78.0,88.9,2.04,3512,21.58,Post-Monsoon,168.6,Medium,Typhoid
Maharashtra,October,25.9,74.8,45.1,1.11,2394,27.31,Post-Monsoon,82.5,High,Dengue
Manipur,December,12.7,62.3,4.5,0.5,400,31.77,Winter,4.7,Medium,Typhoid
Rajasthan,July,32.3,50.0,420.0,5.69,379,34.92,Monsoon,102.1,Low,Dengue
Uttar Pradesh,February,22.3,39.2,5.6,0.96,50,24.97,Winter,9.4,Medium,Typhoid
Uttar Pradesh,October,28.0,64.4,80.4,1.41,622,29.96,Post-Monsoon,23.0,Medium,Malaria
Gujarat,December,22.1,46.5,4.4,0.5,162,25.0,Winter,22.0,Low,Typhoid
Telangana,February,21.9,54.6,4.7,0.75,221,24.76,Winter,3.1,Low,Typhoid
Manipur,January,8.0,59.4,7.7,0.5,203,42.92,Winter,19.2,Low,Malaria
Goa,October,26.3,97.0,81.5,1.65,505,29.22,Post-Monsoon,34.7,Medium,Dengue
Manipur,June,30.9,97.0,239.2,2.6,260,47.18,Monsoon,38.5,Low,Malaria
Gujarat,June,41.9,80.1,156.1,2.9,300,94.37,Monsoon,12.9,Medium,Dengue
Sikkim,October,14.7,75.7,53.3,1.13,580,25.41,Post-Monsoon,115.3,Medium,Dengue
Karnataka,April,35.0,67.4,15.8,0.5,329,48.88,Summer,9.1,Low,Dengue
Madhya Pradesh,February,22.5,42.2,47.9,0.65,216,25.03,Winter,12.1,Medium,Typhoid
Gujarat,November,25.4,52.9,24.0,0.5,170,26.2,Post-Monsoon,136.2,Low,Typhoid
Andhra Pradesh,January,22.3,65.1,13.6,0.6,1457,24.15,Winter,18.8,Medium,Malaria
Madhya Pradesh,January,19.0,30.9,5.6,0.5,1567,24.78,Winter,19.8,Medium,Typhoid
Tripura,March,25.9,69.1,8.2,0.5,50,27.12,Summer,30.1,Medium,Typhoid
West Bengal,December,18.2,71.1,0.5,0.5,2560,23.47,Winter,0.2,Low,Cholera
Nagaland,November,8.0,67.7,52.0,2.38,1145,42.35,Post-Monsoon,83.4,Medium,Cholera
Uttarakhand,May,32.5,64.1,55.4,1.47,101,39.68,Summer,3.1,Medium,Heatstroke
Maharashtra,September,31.0,82.6,407.2,5.71,672,41.81,Monsoon,67.8,Low,Malaria
Himachal Pradesh,January,8.0,39.5,9.6,1.44,429,38.18,Winter,16.8,Low,Typhoid
Tripura,December,13.3,71.0,11.1,0.5,596,28.95,Winter,28.8,Low,Malaria
Maharashtra,January,16.7,52.2,4.1,0.5,465,27.12,Winter,23.2,Medium,Typhoid
Andhra Pradesh,December,24.7,60.4,7.5,0.57,1071,25.75,Winter,17.1,Low,Typhoid
Nagaland,May,32.0,76.5,29.0,0.91,1499,42.91,Summer,17.5,Low,Cholera
Chhattisgarh,August,34.0,84.9,151.1,3.1,2920,55.16,Monsoon,58.8,Medium,Malaria
Nagaland,June,29.0,90.3,4.3,0.79,471,37.15,Monsoon,43.0,Low,Cholera
Bihar,October,20.7,74.5,5.5,1.44,2208,22.46,Post-Monsoon,102.7,Medium,Typhoid
Maharashtra,June,32.7,90.7,38.5,1.7,228,52.52,Monsoon,9.5,Low,Dengue
West Bengal,January,15.0,76.4,15.5,0.67,3031,24.79,Winter,16.4,Medium,Cholera
Chhattisgarh,May,40.0,72.7,3.5,0.94,601,74.62,Summer,14.5,Low,Dengue
Haryana,July,29.7,70.4,6.4,0.73,74,34.41,Monsoon,17.6,Low,Dengue
Manipur,March,18.1,77.0,2.6,0.5,2080,22.08,Summer,2.5,High,Dengue
Uttarakhand,October,18.0,64.3,56.7,1.81,311,24.85,Post-Monsoon,298.5,Low,Cholera
Kerala,December,19.4,79.4,2.8,1.44,435,21.23,Winter,4.6,Medium,Cholera
Telangana,January,20.0,50.3,13.6,1.48,50,25.18,Winter,17.2,Medium,Typhoid
Delhi,January,11.5,34.9,13.9,1.9,1701,30.88,Winter,19.6,Medium,Heatstroke
Assam,March,27.8,66.9,9.4,0.5,313,29.91,Summer,29.6,Low,Typhoid
Nagaland,May,30.3,76.6,31.0,0.5,320,37.59,Summer,20.7,Low,Malaria
Tamil Nadu,February,24.0,72.1,13.2,1.24,237,24.82,Winter,28.3,Medium,Malaria
Andhra Pradesh,July,39.0,97.0,11.7,0.5,630,96.14,Monsoon,249.5,Low,Dengue
Maharashtra,June,38.4,91.4,26.9,0.52,718,85.33,Monsoon,11.0,Low,Cholera
